76th Star,http://j-lyric.net/artist/a0018f8/l00f44f.html,星くずたちよ聞いて　私、約束するよ世界中の誰より　輝いてみせるってアナタがアタシの　総てを変えたわ探しつづけてた　心のカギ　扉をひらけば※I'm 76th No.1 STARすい星のようにキラめくよ　エンジェルハートはNo.1 STAR夢みているのよ※暗い銀河さまよい　やっと気づいたのトランジスタなBodyも　みがけば光りだすって仔猫がどれほど　Sexyかってこと今夜こそアナタに　たっぷりと教えてあげるよ△I'm 76th No.1 STAR世紀に一度舞いおりる　エンジェルハートはNo.1 STARみつめてほしいの△もしもブルーな時は　ホラ、想いだしてごらん頬笑みは永遠のチャンスの呪文だって未来を指さす　星座をみつめて信じてる何かを　つぶやいたら　明日が見えるよI'm 76th No.1 STARすい星のようにキラめくよ　エンジェルハートはNo.1 STAR夢にとどくまで(△くり返し)(※くり返し)
7COLORS,http://j-lyric.net/artist/a0018f8/l025cfd.html,冴えない顔してどうしたんだい?探している答えなんて とっくに知っていたよ微かに残った熱を胸に傍観者になろうとする恐がりを捨てるよ情熱の彼方 虹を描いたらギュッと雨のち晴れの空 抱きしめるよナナイロに光るDay Dream覚めない夢を見る何度でも僕はここから未来へと駆け出すよ 真っ直ぐに弱気な心が塞ぐ今も君の声が響けばまた 歩いて行けるから真っ白な地図を指でなぞったらきっと風を身にまとって 旅に出るよナナイロに光るDay Dream瞳を開けてみる思うより青い空へと手を伸ばし抱き寄せる この瞬間(とき)を痛み知った胸に咲く 枯れないままの夢はじまりの気持ち忘れないでね 明日が見えるはず…ナナイロに光るDay Dream覚めない夢をずっと何度でも僕はここから未来へと駆け出すよ いつだってナナイロに光るDay Dream覚めない夢を見る何度でも僕はここから未来へと駆け出すよ 真っ直ぐに駆け出すよ 真っ直ぐに
7月7日,http://j-lyric.net/artist/a0018f8/l021691.html,「おやすみ」と髪を撫で 白い月が昇るよ今日はどれだけの「本当」に出会えたかな…聴こえるよ 風の歌が僕の半分の世界 優しく彩っていく飛び立つ日待ってる大切だから言えなくなること大好きだから隠してしまうことがね、あるんだどうして…？流れ星-星の涙-僕に降り注ぐよずっと忘れぬように声に出して伝えたい変わることない この気持ちだけ『君といると 幸せなんだ』これからも傍にいるよ覚えてる？奇跡の話君は笑って言ったね大袈裟なことじゃないよ「ココにいることがそう」当たり前過ぎて言えなくなってた追いかけ過ぎて見えなくなってた僕に教えてくれたね地球-命の星-この瞬間(とき)もどこかで生まれてく物語-ストーリー-声に出して伝えたい揺るぐことない この気持ちだけ『君がとても愛おしいです』今ならきっと素直になれる見上げてごらん この空は１つだけ一緒に新しい名前を付けよう流れ星-星の涙-僕に降り注ぐよずっと忘れぬように声に出して伝えたい変わることない この気持ちだけ『君といると 幸せなんだ』これからも傍にいるよいつも ごめん。いつも ありがとう。
Abilities,http://j-lyric.net/artist/a0018f8/l00a35c.html,運命線がどうとか 本日ダメだよ!だとか占い番組じゃ いい加減な事ばかり言うけどちっぽけな うつりゆく理想を求めたいの 大きなカガミを見つめ自分流で行こうそれなりの生き方でも良いよ! なんて人に任せてちゃ ズルイんじゃない?ゼロからはじめてみれば良い計り知れない才能をいかしてプラスにしよう目覚ましを合わせて 旱起きして即!出かけ通勤電車では もまれて押しつぶされてしまうよあきらめて 適当な恩恵求めてたら いつまでたっても今と変わらないよヤメテリアリティーの中から逃げ出そうね形を変えれば スゴイんじゃない?座ってるばかりじゃ意味がない突き抜けてる才能は誰しも秘められてるのおとなしいように見せたり どうにかして時にはロマンス楽しんで生命線とかも長くして明日吹く風を押し出そうよ今日から動けるテンションは計り知れない才能をいかしてプラスになれる
ACROSS,http://j-lyric.net/artist/a0018f8/l0415e1.html,優しき声が 届かぬような荒地の中 一人彷徨ってる目を逸らすような 景色の中で頼れるのは 明日への地図だけ君と願う かすかな希望守るためなら怖くても眠る大地を走り抜ける刻め、この胸にある確かなる想いよ信じ抜く力を糧に闇を切り裂いてゆける響け、遠い彼方でも未来への誓いよいつか祈りは重なって光へ 辿り着けるよ記憶の中で 蘇る影浮かぶ君の笑顔 涙が滲むよ正解(こたえ)のない日々 うずくまっても迷いの先に 真実が見えるはず行き場のない 絶望でも絆は 誰も裏切らないだから強く走り出せる描け、消えることのない愛に満ちた世界を命ある限り僕等は自由を求めてゆける掴め、偽ることのない心で居られる場所飽くなき意志を 貫いてその手で 灯(あかし)を 創ろう悲しみの歌が聴こえてくるよ争いは絶えず嘆きを繰り返しても明けない夜はないから痛みを越え立ち上がって行け輝く方へ…放て、この胸にある確かなる想いよ信じ抜く力を盾に闇を切り裂いてゆける響け、遠い彼方でも未来への誓いよいつか祈りは重なって光へ 辿り着けるよ
ALONE ARROWS,http://j-lyric.net/artist/a0018f8/l03db21.html,両手を広げて抱きしめるようすべての夢を　叶えるイメージ誰かの理想やプロパガンダ踊らぬように　今を刻むだけ煌めきから目を逸らしては　絶望　飼い慣らしてたそれでも逃れられない　寂しさの青Alone 弾かれた　孤独の矢が流れていく　星のように　闇を切り裂いてArrows 聞こえるよ　同じ痛みいつか出会う　君を探し　明日(あす)を取り戻すために群れから離れた羊のよう冷めた視点で　世界を見つめて慣れ合う煩わしさ避けては強がることを　強さと信じた甘さなんて重々知ってる　その分多く望まずだけど気付き始めてる　焦燥の限界―リミット―Alone 放たれた　孤独の矢は分け合うことに　触れ合うことに　きっと憧れてArrows あの頃と　同じ恐れ逃げ出さずに　負のスパイラル　ここで終わらせるために傷はとっくに癒えてる　新たなフェーズ待ってる青ざめた頬 朝日に染め　昨日は破り捨ててなぜ　溶け出した涙ひとつ閉じ込めてた　願いにまた　光灯す時Arrows 飛び回れ　果てなき空心求めるままに　傷ついて答えを　手にするまで
Angel Blossom,http://j-lyric.net/artist/a0018f8/l0359b8.html,出会いはmutate…「ほらね」弾む声で君が微笑んだ目眩起こしそうな始まり 突然のMAGIC説明不要のガイダンス 不思議な引力で惹かれ合う瞳 心はもう無重力今、その手に触れたら開いていく 聞こえる命運だって きっと待ちきれず動き出すよ羽撃け 不屈の夢の彼方までありきたりのcodeは壊して誰も見たことない世界君となら行けるよ感じるままに伝えたいんだ すべてを挑発的な未来 鼻を擽って本能が目覚める予感 偶然のGIMMICK過去さえ塗り替えそうな 不器用な太陽が照らし出す光 僕の胸躍らせるほら、置き去りにしてた幸せへのlyricやっと迷わず抱き締められる輝け 夜空に虹を架けるほど誰も知らない君を知りたいどんな理論も通じないこの想い信じて新しい時間(とき)を紡ぎたいよ 一緒に1人きり 当てもなく漂いもがいてた明日が見えず溢れた涙 君が浚っていくありのままを教えてくれた羽撃け 不屈の夢の彼方までありきたりのcodeは壊して誰も見たことない世界君となら行けるよ感じるままに伝えたいんだいつでも 答えならtruth
Astrogation,http://j-lyric.net/artist/a0018f8/l00c342.html,加速したEmotionが 胸を何故か締めつける普通になれないよ 君を描きすぎて笑顔が眩しいから アンドロメダの宝石みたいいつも笑うけれど 僕は真剣だよなんて君の存在は AI(エーアイ)を愛にコンバートするの?無限のカオスも悪くない All right! 明日(あす)を越えて感情がハジける アダムとイヴの軌道を追うReady Go to star heaven 恋だと地図が示すよシンクロしたい でも届かない君との距離ワープしたい夢を語るには 宇宙じゃなんか狭すぎるからShining love ＆ Galaxy 「大好き」が溢れてるんだ上手く言えないけど僕についてきて空を教えてあげるよもしも今この瞬間 テレポートが出来るのならば銀河の記憶を 君と旅したいよロジックや方程式や 重力なんてもういらなくて二人の引力があれば All right! 時を翔けようShooting star ＆ Crescent moon静かなこの海を越えよう生命(せいめい)の起源からこの出会いは決まっていたんだ感情がハジける アダムとイヴの軌道を追うReady Go to star heaven 恋だと地図が示すよシンクロしたい でも届かない君との距離ワープしたい林檎が堕ちた日から 僕らは遥か愛情に出会いShining love ＆ Galaxy 「大好き」が溢れてるんだ僕のすべてになってほしい 君だけに世界を全部あげよう
BE READY!,http://j-lyric.net/artist/a0018f8/l00f457.html,見慣れた街捨てて　飛び出したあの日優柔不断なら　出来なかったはず生意気なポーズで　背伸びしたりして語り明かしたのも　意味を持っていた思い出せたのは　瞳にうつった感動的な夢　be ready振り返れば熱くなる　負けられないね目覚めた人はいつでも　気持ち込めた生き方で道なき道を行く　歪んだ世間気にしないひとつひとつを　深くとらえる事などないさあこがれだけ抱いて　幻集めて前途多難だよと　言われてしまえば小さな悲劇でも　切なさ膨らみ張り詰めた空気で　全て消えそうな今は悩んでも　鏡にうつした背中にはあの夢　be ready浮かんでは消えてしまう忘れていたねナキゴト言わなくていい　思い通り生きる道自分で決めた事　少しずつ加速すれば凍えた指も　春に溶けると願ってみようよあの時まで　何もなかった目覚めた人はいつでも　気持ち込めた生き方で道なき道を行く　歪んだ世間気にしないひとつひとつを　深くとらえる事などないさ
"Birdie, birdie",http://j-lyric.net/artist/a0018f8/l003df0.html,ふたつの瞳に映っている言葉に出来ない悲しみ溢れ出すのを待ってるBirdieついばんでBirdie涙の粒自由な大空に心を連れ出してまぶたを閉じれば響いてくる昼は昼に 夜は夜に静けさと平和伝えて※Birdieあの空はBirdieあなたの家私の窓辺にも愛を歌いに来て※(※くり返し)
